address.streetAddress,address.city,address.state,address.zipcode,zpid,propertyTypeDimension,yearBuilt,county,livingArea,rentZestimate,monthlyHoaFee,price,url,datePosted,resoFacts.daysOnZillow,attributionInfo.trueStatus,imgSrc,bedrooms,bathrooms,longitude,latitude,description,rentAverage
7 Goldfinch Ct W,Savannah,GA,31419,133713092,Single Family,1985,Chatham,1557,2067,38,349900,/homedetails/7-Goldfinch-Ct-W-Savannah-GA-31419/133713092_zpid/,1/10/2026,102,Active,https://photos.zillowstatic.com/fp/c04d53ffb63ee44f9493745698ad73c2-p_d.jpg,3,2,-81.23485,31.977867,"Welcome home to this wonderful 3 bedroom, 2 bath home nestled on a quiet cul de sac in Kings Grant. This brick home was fully remodeled in 2020 with new kitchen cabinets, granite and appliances. The bathrooms were updated as well as new flooring throughout. Enjoy quiet evenings on the huge 30x15 screened in porch with vaulted ceiling or roast marshmallows over the firepit on the back patio. Huge oak trees provide shade to the peaceful backyard with new cedar fencing.  The double gate allows access for you to park your boat or trailer on the concrete pad on the side of the house. The brick wood-burning fireplace with gas starter is the centerpiece of the family room. Additionally, new windows with 2"" blinds and a new water heater were recently installed. The exterior of this lovely home is freshly painted giving the home a wonderful fresh palette, as well as new hardiboard along the back of the porch. The spacious two-car garage offers an extra storage pad for bikes and toys, and the backyard shed holds yard equipment, tools and more.   The additional flex space offers versatility, suitable for use as a dining area, office, or playroom.   Kings Grant is part of Georgetown Community Services Association which offers several community pools, playgrounds, tennis and basketball courts, and more. Less than 10 minutes to Hunter AFB and 20 minutes to downtown.",2150
"Brandon Plan, Cobblestone Village",Savannah,GA,31419,457917997,Single Family,2026,Chatham,1518,2201,,342490,/community/cobblestone-village/457917997_zpid/,3/22/2026,31,,https://photos.zillowstatic.com/fp/e570e9508dda56d548b73f0b4fe082d4-p_d.jpg,3,3,-81.29733,32.04108,"The Brandon floorplan at Cobblestone Village in Savannah, GA offers a smart and stylish design that makes the most of every square foot.
With 1,518 square feet of living space, 3 bedrooms, and 2.5 bathrooms, this two-story layout is ideal for first-time buyers, young families, or those looking for low-maintenance living without sacrificing style.


On the main floor, enjoy an open-concept design where the kitchen, dining, and living spaces flow seamlessly together. The kitchen includes stainless steel appliances, shaker-style cabinetry, a spacious island, and a pantry-perfect for cooking and entertaining. A convenient half bath and access to the single-car garage add everyday functionality.


Upstairs, you'll find three bedrooms, including a private primary suite with a walk-in closet and an attached bathroom featuring a walk-in shower and dual vanities. Two additional bedrooms and a full bathroom provide the flexibility for guest rooms, a home office, or a kids' space.


Each Brandon home at Cobblestone Village also includes D.R. Horton's Home Is Connected® smart home technology package, allowing you to control lighting, temperature, and security with ease.


Discover the convenience of modern living in one of Savannah's most desirable communities-find your new home with the Brandon plan at Cobblestone Village.",2150
127 Birch Cir,Port Wentworth,GA,31407,108591684,Townhouse,2022,Chatham,1644,2192,,275000,/homedetails/127-Birch-Cir-Port-Wentworth-GA-31407/108591684_zpid/,11/29/2025,144,Active,https://photos.zillowstatic.com/fp/9c73f7345e4b87c6d27f948f1eb7515c-p_d.jpg,4,3,-81.19436,32.21459,"Move-in ready 2022-built townhouse in the Park Side section of Rice Hope! This 4-bedroom, 3-bath home offers a smart 1,644-sq-ft layout with an open main living area and a modern kitchen featuring contemporary finishes and efficient design. The main level includes a convenient guest bedroom and full bath, with three additional bedrooms upstairs.    Located in a well-planned community with exceptional amenities, residents enjoy access to tennis courts, fitness center, playground, and three pools including a lap pool with slide, lazy river, and splash pad.    Great location near shopping, dining, and recreation-only 10 minutes to Walmart, 15 minutes to Savannah/Hilton Head International Airport, 20 minutes to Savannah National Wildlife Refuge, and about 40 minutes to Tybee Island and Mid Beach. A versatile property suitable for primary residence, short-term stay convenience, or long-term investment potential.",2550
"WILLOW Plan, Rice Hope",Port Wentworth,GA,31407,460338090,Single Family,2026,Chatham,1509,2159,,325990,/community/rice-hope/460338090_zpid/,2/7/2026,73,,https://photos.zillowstatic.com/fp/6ef3c60f01b1a96d32dac777b1b64cb6-p_d.jpg,4,2,-81.18196,32.21776,"Welcome to the Willow floor plan by D.R. Horton in the amenity-rich community of Rice Hope. This 4 bedroom, 2 bath one story home offers 1,509 square feet of thoughtfully designed living space and a 2-car garage. The open-concept layout seamlessly connects the living, dining, and kitchen areas, creating an ideal space for both everyday living and entertaining. The kitchen features quartz countertops, shaker-style cabinetry, stainless steel appliances, and ample storage. 
 
The private primary suite includes an en-suite bath, while three additional bedrooms provide flexibility for guests, a home office, or growing households. Smart Home technology is included for added convenience and security. 
 
Rice Hope offers exceptional resort-style amenities including a lazy river, zero-entry pool, splash park, clubhouse, fitness center, playgrounds, walking trails, pickleball courts, and access to Indigo Lake for kayaking and outdoor recreation. Conveniently located near Pooler, Savannah, shopping, dining, and major employers, this home combines modern comfort with an active lifestyle community. 

Home is under construction. Pictures, photographs, colors, features, & sizes are for illustration purposes only and will vary from the homes as built. The photos are Not of subject property.",2550
168 Holloway Hill,Pooler,GA,31322,339775664,Townhouse,2023,Chatham,1397,,341,323900,/homedetails/168-Holloway-Hl-Pooler-GA-31322/339775664_zpid/,3/30/2026,23,,https://photos.zillowstatic.com/fp/5f0850e8d85bb1616dae8183d18d9401-p_d.jpg,3,2,-81.300674,32.09076,"If you've been looking for the perfect low maintenance home in one Savannah's premiere neighborhoods you've found it. High ceilings, wide hallways, and tons of windows fill the home with natural light and create a spacious welcoming. The gourmet kitchen is the heart of the home with a huge island perfect for cooking and entertaining. No need to bring your lawn mower yard maintenance is included with your HOA. 
This gated community has everything you need. Luxury pool, club house, excellent restaurant, new pickle ball courts, tennis, gym, and so much more all centered around an incredible golf course.",2250
79 Crystal Lake Drive,Savannah,GA,31407,133713692,Single Family,2018,Chatham,1618,2316,50,309500,/homedetails/79-Crystal-Lake-Dr-Savannah-GA-31407/133713692_zpid/,12/30/2025,113,,https://photos.zillowstatic.com/fp/ce7876da2aa0e0996cc6746f950f54cf-p_d.jpg,3,3,-81.24945,32.171246,"Beautiful 2 Story Home Located In Spring Lake! 9 Foot Smooth Ceilings. 3 Bedrooms/2.5 Baths. Open Concept Floorplan. Wood Vinyl Flooring Throughout Downstairs. Living Room, Dining Room, Kitchen. 1/2 Bath, Laundry Room. Kitchen Opens Up to Living Room. Breakfast Bar. Faux Marble Counters. Decorative Tile Backsplash. Smooth Top Stove. Dishwasher. Microwave. Fridge with Icemaker. All Bedrooms Upstairs. Flex Space at Top of Stairs Can Be Used As Computer Station. Primary Bedroom Has Large Walk In Closet. Primary Bath Has Double Vanities, Garden Tub. 2 Guest Room and Full Bath Upstairs. 2 Car Garage",2200
455 Lions Den Drive,Pooler,GA,31322,121169987,Single Family,2011,Chatham,2796,2795,45,349900,/homedetails/455-Lions-Den-Dr-Pooler-GA-31322/121169987_zpid/,4/21/2026,1,,https://photos.zillowstatic.com/fp/cdac520adfb82c99a9b607894d0e98ce-p_d.jpg,5,4,-81.27335,32.156116,"Welcome to this thoughtfully updated 5-bedroom, 3.5-bath home tucked away on a cul-de-sac. Designed for both comfort and functionality, the main-level primary suite offers private access to the backyard patio and a spacious bath featuring a double vanity, garden tub, separate shower, and walk-in closet. The open-concept floor plan showcases new LVP flooring, fresh paint, and abundant natural light throughout the main living areas. Upstairs, a generous loft provides flexible living space along with four additional bedrooms, two full bathrooms, and a conveniently located laundry room. All bedrooms feature walk-in closets, and the home offers exceptional storage throughout. Step outside to a screened patio and privacy-fenced backyard, perfect for relaxing or entertaining. Neighborhood amenities include a pool and playground.",3300
2010 Packard Avenue,Savannah,GA,31405,14182381,Single Family,2026,Chatham,1683,2446,,315000,/homedetails/2010-Packard-Ave-Savannah-GA-31405/14182381_zpid/,3/31/2026,22,,https://photos.zillowstatic.com/fp/74c684806201a0a4290f7ac001e1ba3d-p_d.jpg,4,2,-81.1378,32.057693,"This stunning new construction 4BR/2BA custom crafted bungalow blends classic charm with modern style and is ready to impress! In the heart of Savannah, this home features a bright, open-concept layout and is designed for today’s lifestyle.Perfect for entertaining or everyday living. The spacious living areas flows seamlessly into a sleek, fully modern kitchen complete with stainless steel appliances and upgraded finishes. The primary suite offers a true retreat with a spa-like en-suite bath featuring double vanities, tub and shower.  Three additional bedrooms add to the overall comfort and use of this home.  Enjoy your morning coffee on the front porch and unwind in the evenings on the rear porch both ideal spaces for relaxing or hosting guests.",2950
56 Travertine Cir,Savannah,GA,31419,65272908,Townhouse,2005,Chatham,1860,,193,262000,/homedetails/56-Travertine-Cir-Savannah-GA-31419/65272908_zpid/,7/26/2025,270,,https://photos.zillowstatic.com/fp/635782969c69297cdc819ecfc2ab5fd8-p_d.jpg,3,3,-81.2242,32.03083,"LOCATION, LOW MAINTENANCE & SPACIOUS with an appliance allowance offered by Seller! Welcome to this lagoon-front townhome in Stonelake, offering lagoon views from every bedroom and a thoughtfully designed, spacious layout.  This three-bedroom, two-and-a-half-bath home features a bright, open great room that flows seamlessly to both covered and open patio spaces—perfect for relaxing or entertaining.   The kitchen stands out with tall ceilings, abundant cabinetry, a breakfast bar, breakfast room and a full appliance allowance available—plenty of space for cooking and hosting with ease.  The main-level primary suite offers convenience and comfort with a walk-in closet, double vanity, and a soaking tub with shower. Also on the main floor: a powder room for guests and a dedicated laundry room.  Upstairs, you'll find two generously sized bedrooms, each with walk-in closets and ceiling fans, along with a full bath featuring a private water closet.  Additional highlights include:  No carpet throughout the home Roof approximately 4 years old Two walk-in attics for excellent storage Two assigned parking spaces  Enjoy community amenities such as a pool, playground, sidewalks, streetlights, and scenic common areas.  Ideally located within walking distance to shopping, dining, banking, and the local lake—and just minutes from major highways, providing easy access to the Islands, beaches, and historic downtown Savannah (approximately 15–20 minutes away).  Public water and sewer. No flood insurance required.",2150
2304 Waters Ave,Savannah,GA,31404,131754872,Single Family,1945,Chatham,1334,1842,,295000,/homedetails/2304-Waters-Ave-Savannah-GA-31404/131754872_zpid/,11/10/2025,162,,https://photos.zillowstatic.com/fp/9b403c3f7d2a95b90e8c6d287a251931-p_d.jpg,3,1,-81.08427,32.050808,"2304 Waters Avenue Zillow listing text

Incredible investment location with heavy foot traffic in a vibrant neighborhood! Potential for restoring three store fronts in one building, or keeping a single large, open space. 

This building is within the Historic Waters Avenue Neighborhood Corridor Revitalization by the City of Savannah. Tax incentives and other programs are/may be available. 

Buildings along this quaint corridor have been recently renovated into lovely businesses by local entrepreneurs. 

There’s a strong demand amongst neighborhood artists/homeowners for art space within walking distance of home.

The City of Savannah has been actively focused on a Waters Avenue multimillion dollar streetscape improvement. The transformation has successfuly increased interest in neighborhood revitalization. 

This property receives heavy foot traffic and eyes on the property from locals that frequent Waters Café across the street, Good Fortune Market, Stacks Bookstore, and Cast and Grey Botanical. 

2304 Waters Avenue receives strong midday and afternoon sun, with big windows that are well suited for plants and creating/showcasing artwork.

The Historic Waters Avenue Community Association has connected the community even more.

More restaurants have opened recently like the new 520 Wings a couple of blocks away and Slow Fire Savannah BBQ.  

Rooftop does need work, but somehow beckons for a rooftop bar/hangout (public or private) to be installed. 

Windows currently need glass work (we know a guy.) 

And, if locally cultivated wooden barn beams or thick wood wood slabs are your thing, we can help with the supply and finishing end. 

Sadly, this building does not come with parking, even though it does come with great neighbors and lively conversations. 

The hot, sunny bus stop out front means it’s your responsibility as the new building owner and a good citizen to keep a sitting bench for the elderly, disabled and tired bus riders along with an awning to help shade them from the intense summer sun. Be good and do good! 

Savannah thrives from kindness and connection, and 2304 Waters Avenue will connect you even more. ",2050
224 Hasty Point Road,Port Wentworth,GA,31407,461075975,Single Family,2026,Chatham,1617,2158,37,329211,/homedetails/224-Hasty-Point-Rd-Port-Wentworth-GA-31407/461075975_zpid/,3/15/2026,38,,https://photos.zillowstatic.com/fp/a043197255717d22bab0a0b31ea673c4-p_d.jpg,3,3,-81.20178,32.23293,"New Construction in Rice Creek at Port Wentworth. Affordable single-family homes with aggressive incentives available now. Minutes from I-95 and downtown Savannah. Savannah's most trusted local builder is proud to offer our Bismarck II TR plan. This home has some excellent features and upgrades, fully sodded and irrigated yard with timer, expanded patio out back, quartz tops in full bathrooms, 2 sinks in primary bathroom vanity, Garden tub/Shower in primary bathroom, garage door opener with 2 remotes, pendant lights over kitchen island, ADT security package, click plank flooring upgrade in all main living areas and wet areas, level 3 cabinetry upgrade (36"" tall), granite tops in kitchen, soft close cabinets in kitchen, all stainless appliances including refrigerator in kitchen, and framed mirrors in all bathrooms. Home is due complete in August 2026.",2200
125 Hinesley Way,Pooler,GA,31322,460872893,Townhouse,2026,Chatham,1444,2088,120,284900,/homedetails/125-Hinesley-Way-Pooler-GA-31322/460872893_zpid/,3/5/2026,48,,https://photos.zillowstatic.com/fp/24af43a07a8377c955c29317f6ab1ba2-p_d.jpg,3,3,-81.25253,32.073174,"Early April Completion - Welcome to The Ascot floorplan! A thoughtfully designed 3-bedroom, 2.5-bath town home offering 1,444 square feet of stylish, low-maintenance living, including amenities like a pool and fitness center. Downstairs, you'll find a bright and open living area that flows effortlessly into the kitchen and dining spaces. The kitchen is equipped with a large center island, granite countertops throughout, and plenty of cabinet space ideal for both cooking and entertaining. Access to the attached garage and a convenient half bath complete the first floor. Upstairs features a private primary suite with an en-suite bath and generous closet space. Two additional bedrooms, a full bathroom, and a dedicated laundry room provide comfort and convenience for the whole household. All lender required closing costs to be paid for by seller with the use of a preferred lender (not to exceed $10,000). Washer, dryer, and refrigerator included when using a preferred lender.",2250
105 Millen Street,Savannah,GA,31415,14152653,Single Family,1965,Chatham,936,,,219900,/homedetails/105-Millen-St-Savannah-GA-31415/14152653_zpid/,10/3/2025,201,,https://photos.zillowstatic.com/fp/08c6334e22bc7ab46195e868f30c50fe-p_d.jpg,3,2,-81.11862,32.087334,"THIS FULLY RENEOVATED HOME IS PERFECT FOR FIRST TIME HOME BUYERS OR FIRST TIME INVESTORS! THREE BEDROOM AND ONE AND A HALF BATHROOMS FOR UNDER 24O,000! THIS HOME IS MINUTES FROM DOWNTOWN, ILA HALL, AND I-16. DON'T MISS THIS OPPORTUNITY TO OWN PROPERTY IN THE CITY OF SAVANNAH. FIRST TIME HOMEBUYERS MAY CONSIDER DREAMMAKER DOWN PAYMENT ASSISTANCE.",1700
151 Fox Glen Court,Port Wentworth,GA,31407,108591922,Single Family,2009,Chatham,1642,2080,41,329000,/homedetails/151-Fox-Glen-Ct-Port-Wentworth-GA-31407/108591922_zpid/,4/20/2026,2,,https://photos.zillowstatic.com/fp/c9e7e8a3a7081ed8af39158152502a0e-p_d.jpg,3,3,-81.223656,32.18729,"This beautifully maintained home welcomes you with a charming covered front porch and an inviting open floor plan highlighted by fashionable light fixtures. The kitchen features stainless steel appliances and tile back splash. Upstairs, the master bedroom impresses with a tray ceiling, dual vanities, and a generous walk-in closet, while the spare bedrooms offer plenty of space for family or guests. The large laundry room adds everyday convenience. Step outside to the large, enclosed patio with chill vibes, a cozy firepit in the backyard, privacy fence, and a handy storage shed. Enjoy the community pool, clubhouse, playground, and scenic lake. Conveniently located near I-95, Pooler, Gulfstream, the ports, restaurants, the Hyundai plant, and shopping — everything is just minutes away! Move-in ready and full of charm. Don’t miss it!",2200
2008 Essex Avenue,Savannah,GA,31405,14182429,Single Family,2006,Chatham,1440,2023,,309000,/homedetails/2008-Essex-Ave-Savannah-GA-31405/14182429_zpid/,4/9/2026,13,,https://photos.zillowstatic.com/fp/41368dd1355015799e8eb4129c368987-p_d.jpg,3,2,-81.138054,32.05698,"Distinctive 3BR/2BA home with a welcoming front porch, spacious living area, separate dining room, country kitchen, and primary suite with double vanities. Marble-look flooring adds an elevated finish, and the home’s layout and character help it stand out. The property offers a spacious layout on a generously sized lot. Nestled in a quieter residential setting that feels tucked away, yet offers quick access to I-516, Hunter Army Airfield, Fort Stewart, shopping, dining, and other Savannah destinations. Schedule your showing today!",2300
"Grayson TR Plan, Rice Creek",Port Wentworth,GA,31407,343837467,Single Family,2026,Chatham,2022,2385,,345900,/community/rice-creek/343837467_zpid/,3/3/2026,50,,https://photos.zillowstatic.com/fp/e8029d2fd2e590b80eb1be63186d82d4-p_d.jpg,4,3,-81.19575,32.230347,"The Grayson TR features all four bedrooms on the second floor, leaving the first floor for family living with its separate café, and kitchen connected to the open family room. The second floor has a laundry room and the primary suite includes a long walk-in closet. Attached to the great room through the back door is a back patio space.",2550
818 W 37th Street,Savannah,GA,31415,14163438,Single Family,1900,Chatham,1300,,,190000,/homedetails/818-W-37th-St-Savannah-GA-31415/14163438_zpid/,10/9/2025,195,,https://photos.zillowstatic.com/fp/cba66d2548a56a5ac63fd8acb492d587-p_d.jpg,3,2,-81.10981,32.059917,"This is a perfect property for an investor looking for a quick project to finish or any homeowner looking to make a house their own. The home sits on a corner lot with a large, fenced in yard. The plumbing and electrical has been redone for the entire home. The house is currently set up to be a duplex or can be configured back to a single family home. The downstairs is 1 bed/1 bath, has a living room that can be converted into another bedroom and a kitchen with new shaker style cabinets. The upstairs is 2 beds/1 bath, has an open living & kitchen space and the kitchen has been plumbed for. There are separate electrical units for each floor. Previous renovation drawings are available. All building materials on the property such as toilets, bathtubs, doors, etc. are included with the sale.",1700
172 Coneflower Rd,Bloomingdale,GA,31302,2057230449,Townhouse,2023,Chatham,1418,2090,200,250000,/homedetails/172-Coneflower-Rd-Bloomingdale-GA-31302/2057230449_zpid/,12/16/2025,127,Active,https://photos.zillowstatic.com/fp/072b868fb1acbcd9e6483110169a4113-p_d.jpg,3,3,-81.3644,32.082443,"Welcome to this well-maintained home located in the desirable Bloomingdale area. This property offers a functional floor plan with spacious living areas, ample natural light, and comfortable bedrooms. The kitchen features plenty of cabinet space and overlooks the main living area, making it ideal for everyday living and entertaining.    Enjoy a private backyard perfect for relaxing or outdoor activities. Conveniently located near shopping, dining, schools, and with easy access to Savannah, Pooler, and major highways. This home is a great opportunity for homeowners or investors alike. Don't miss your chance to see it-schedule your showing today!",1950
1216 E 37th Street,Savannah,GA,31404,299355420,Single Family,1933,Chatham,1774,2067,,225000,/homedetails/1216-E-37th-St-Savannah-GA-31404/299355420_zpid/,12/17/2025,126,,https://photos.zillowstatic.com/fp/20e7560b87845b6d1d660029d905a78e-p_d.jpg,3,1,-81.08059,32.05215,"Dramatic price improvement! Motivated Seller! Welcome to 1216 E 37th Street, a charming Savannah cottage offering character, functionality, and opportunity. This well-maintained home features hardwood floors, a cozy fireplace, neutral paint throughout, and an efficient layout that feels bright and inviting.

Inside, spacious bedrooms, an updated laundry area, and abundant natural light make the home comfortable and move-in ready, while still offering room to add value over time.

Conveniently located just minutes from downtown Savannah, hospitals, dining, shopping, and major corridors, this property is well-suited for an investment opportunity or an affordable entry into homeownership. Whether you’re building a portfolio or purchasing your first home, this one delivers location, charm, and potential.

Savannah character. Smart opportunity. Solid location.",2050
1723 Dunn Street,Savannah,GA,31415,14153528,Single Family,2026,Chatham,1300,2251,,260000,/homedetails/1723-Dunn-St-Savannah-GA-31415/14153528_zpid/,3/14/2026,39,,https://photos.zillowstatic.com/fp/11cbda5dd52dc9cd65dfb70d930badaf-p_d.jpg,3,3,-81.125084,32.086876,"QUALIFIES FOR UP TO 30k IN DOWN PAYMENT ASSISTANCE THRU THE CITY OF SAVANNAH DREAM MAKER'S PROGRAM! This Brand-New Construction Energy Efficient Home in the Heart of Savannah is listed for only $260K! This New Beauty is located in an area w/lots of active Revitalization, minutes from Downtown, Southside, SCAD, restaurants, shopping & 1 block away from other newly constructed homes. This home features 3 spacious bedrooms, 2.5 baths, a large family rm, luxurious vinyl plank flooring throughout the entire home, there's absolutely no carpet, a nice open Kitchen w/a breakfast bar, new stainless appliances including the refrigerator, granite countertops, 1st floor Owner's Suite w/a full bath, & oversized large tiled shower, ½ bath located on the 1st flr, laundry room, off-street parking & so much more!  This beauty could be your brand-new home w/a mortgage payment cheaper than rent. Completed by Late APRIL.",1700
411 Olde Ivey Square,Pooler,GA,31322,345735196,Townhouse,2016,Chatham,1559,2044,171,245900,/homedetails/411-Olde-Ivey-Sq-Pooler-GA-31322/345735196_zpid/,1/6/2026,106,,https://photos.zillowstatic.com/fp/15bb0b195069277f516cfb8ffa21b554-p_d.jpg,3,3,-81.27786,32.100666,"TOWNHOME LOCATED IN POOLER. Convenient to everything!!! Minutes to great shopping, restaurants, entertainment, the Savannah/Hilton Head Airport, I-95 and I-16. This 3 bedroom, 2 1/2 bath townhome is located in an amenity rich community offering a community pool, tennis court, fitness center and playground. Open and spacious great room/dining room.  Fully equipped kitchen with island.  All bedrooms are generous in size.  Primary bedroom with on-suite bath that has double vanities, soaking tub and separate shower.  Photos are of another home townhome that is the same floor plan.  Colors, appliances, makes and models, etc. may differ.  Ask about seller paid closing costs!",2250
29 Travis Street,Savannah,GA,31406,339775561,Townhouse,2022,Chatham,1600,2127,,325000,/homedetails/29-Travis-St-Savannah-GA-31406/339775561_zpid/,9/27/2025,207,,https://photos.zillowstatic.com/fp/7b0a203806ced2750817270f28cf1351-p_d.jpg,3,3,-81.12108,31.997023,"*PRICE REDUCED* Invest with less stress! 29 Travis Street was built in 2022 and was the first of, what is now, a 6-unit neighborhood! No HOA fees! This unit is being sold AS IS. Upgraded appliances, a gorgeous landscaped front area, and a concrete pad with a outdoor jacuzzi spa are just a few of the upgrades included. Featuring a lower-level primary suite, laundry closet complete with washer and dryer, and ample storage, this unit is ready for it's newest residents. The entire unit has been professionally repainted. Showings are by appointment only.",2150
2114 Weldon Street,Savannah,GA,31415,14152947,Single Family,1946,Chatham,1008,,,249900,/homedetails/2114-Weldon-St-Savannah-GA-31415/14152947_zpid/,2/3/2026,78,,https://photos.zillowstatic.com/fp/afeb8aaed1570cca48edbab4bda23bf2-p_d.jpg,3,2,-81.12271,32.09239,"This oversized LOT and move-in-ready residence has been thoughtfully updated, offering modern finishes while maintaining the charm Savannah buyers love. What truly sets this property apart is the expansive lot, which may allow for subdivision and the potential to add up to two additional properties (buyer to verify zoning and approvals). Whether you are looking for a primary residence with future income potential, a long-term investment, or a development opportunity in a rapidly growing area, this property checks all the boxes. The area is currently experiencing continued growth and revitalization. This is a rare chance to secure a renovated home plus land value in one of Savannah’s desirable and convenient locations. Live in it, invest in it, or develop it the possibilities here are endless.

Prime location just minutes from Downtown Savannah, Georgia Ports, SCAD campuses, shopping, dining, hospitals, and major highways.",1700
"Ormewood Plan, Westbrook Retreat at Savannah Quarters",Pooler,GA,31322,442990138,Single Family,2026,Chatham,1622,2639,,347990,/community/westbrook-retreat-at-savannah-quarters/442990138_zpid/,3/14/2026,38,,https://photos.zillowstatic.com/fp/530061864aaefc5aa4b6f582f5e2ea89-p_d.jpg,3,2,-81.30678,32.090153,"Introducing the Ormewood, a beautifully crafted single-story home offering 1,622 square feet of thoughtfully designed living space. This home features three spacious bedrooms, two bathrooms, and an open-concept layout that effortlessly blends the kitchen, dining, and living areas. With modern design elements, and a two-car garage providing ample parking and storage, the Ormewood is the perfect balance of style and functionality!",2250
84 Endicott Drive,Savannah,GA,31419,461763462,Single Family,2026,Chatham,1565,,38,348480,/homedetails/84-Endicott-Dr-Savannah-GA-31419/461763462_zpid/,4/17/2026,5,,https://photos.zillowstatic.com/fp/c46a49d6c6d385aeb032bdd67f40750d-p_d.jpg,3,2,-81.25872,31.974277,"Landmark 24 Homes is proud to offer the Seneca plan in The Cove at Bradley Point, located in Savannah. This thoughtfully designed 3-bedroom, 2-bath home features a spacious open-concept layout that is ideal for both everyday living and entertaining. The kitchen is equipped with granite countertops, stainless single sink, a center island, 42-inch upper cabinets, and stainless steel appliances, all seamlessly flowing into the main living areas. The primary suite is conveniently located on the ground floor and features a tray ceiling with ceiling fan, beautifully designed tile shower with a glass door. The hall Bathroom includes quartz countertops and framed mirrors. Enjoy outdoor living year-round with a covered porch. Estimated completion is September 2026. Pictures, features, and selections shown are for illustration purposes only and may vary from the home as built. ALL BUILDER INCENTIVES HAVE BEEN APPLIED.",2150
"Cooper II Plan, Pine Barren Place",Pooler,GA,31322,459731895,Single Family,2026,Chatham,1532,2320,,290900,/community/pine-barren-place/459731895_zpid/,2/28/2026,52,,https://photos.zillowstatic.com/fp/a52fac8ea63c21d31684df6586d6817e-p_d.jpg,3,3,-81.24426,32.084038,"Pine Barren Place offers a convenient townhome lifestyle in the heart of Pooler, Georgia, just minutes from I-95 and within easy reach of Savannah. This thoughtfully designed community provides low-maintenance living with modern layouts and stylish finishes, perfect for busy professionals and growing families alike. Residents will enjoy close proximity to Pooler's top destinations including Tanger Outlets, Costco, and countless restaurants along Pooler Parkway. Entertainment options like Dave and Buster's or the IMAX theater are nearby, while Savannah's historic downtown, River Street, and Tybee Island are only a short drive away. Surrounded by great schools, local parks, and everyday conveniences, Pine Barren Place combines comfort, connection, and coastal charm-bringing the best of Pooler and Savannah right to your doorstep.",2250
1159 Mohawk Street #E4,Savannah,GA,31419,61764034,Townhouse,2001,Chatham,1500,1948,210,259900,/homedetails/1159-Mohawk-St-UNIT-E4-Savannah-GA-31419/61764034_zpid/,4/3/2026,19,,https://photos.zillowstatic.com/fp/5cdc5c3588985d16d9d9e727d9a1ec8f-p_d.jpg,3,2,-81.17319,31.988846,"Welcome to Mohawk Trail Townhome gated community! With 3 BR, 2 modern bathrooms and 1500 Square feet. Step inside to a breathtaking 2 story living room. The master suite has a walk-in shower and the guest bath has a walk-in jetted tub next to the guest bedroom, both on the main floor. The huge 3rd bedroom is upstairs with a space for an office. Enjoy your mornings and evenings in the large screened porch overlooking the privacy fenced yard! Priced below tax assessment, so hurry to see this one-and there is no carpet!!",2150
"Berglund Modern Farmhouse Plan, Savannah, GA: Build On Your Lot",Pooler,GA,31322,439206800,Single Family,2026,Chatham,2196,2705,,337735,/community/savannah-ga-build-on-your-lot/439206800_zpid/,2/8/2026,72,,https://photos.zillowstatic.com/fp/524a37df700fb5d08e0e8df2f41fe489-p_d.jpg,3,2,-81.22767,32.1062,"This gorgeous Farmhouse style ranch, three bedroom plan will fit perfectly in any location. You will be welcomed home by the stunning board & batten exterior as well as the charming covered front porch complete with columns. The dining area and spacious kitchen area will provide multiple places to dine together and entertain friends and family. The sizable great room provides additional space and brings warmth and comfort to the entire room with the optional fireplace. Enjoy some quiet time in the study while still feeling connected to the rest of the home. All bedrooms are complete with walk-in closets. And the master bathroom provides ample counter space with his and her sinks, and a separate garden tub and shower. The utility room provides entry to the double garage that will be convenient for rainy days and coming home late.",2250
143 Carlisle Way,Savannah,GA,31419,80792541,Single Family,2006,Chatham,1448,,45,324900,/homedetails/143-Carlisle-Way-Savannah-GA-31419/80792541_zpid/,12/18/2025,125,,https://photos.zillowstatic.com/fp/4c7c42f99a475f58d547ec63e915227b-p_d.jpg,3,2,-81.23243,32.034954,"Welcome home to this well-maintained 3 bedroom, 2 bath charmer offering easy, single-story living in a fantastic, convenient location. From the moment you step inside, you’ll appreciate the bright, open layout and no carpet anywhere—a major win for durability, cleanliness, and style. The spacious kitchen opens to the dining and living areas, making everyday living and entertaining a breeze. The large primary suite provides a comfortable retreat, while two additional bedrooms offer flexibility for guests, work, or hobbies. Out back, enjoy a fully fenced yard with plenty of room to garden, grill, or simply unwind. The community amenities seal the deal—a sparkling pool, fitness center, and playground give you resort-style perks without ever leaving the neighborhood. All of this just minutes from shopping, restaurants, and everyday conveniences. Well cared-for, move-in ready, and in a location that makes life easy—this home is truly the whole package.",2150
